"CustomerID","Age","Gender","PurchaseAmount","InCartAmount","Country"
101,21,NA,500.94,932.76,"USA"
102,56,"Male",402.27,714.92,"New Zealand"
103,18,NA,538.21,581.85,"USA"
104,51,"Female",444,432.26,"Australia"
105,40,"Male",155.08,301.79,"USA"
106,60,"Female",977.8,1757.9,"Canada"
107,31,"Female",864.22,1024.91,"USA"
108,35,"Female",623.14,1124.59,"New Zealand"
109,68,"Male",60.93,45.6,"New Zealand"
110,50,"Female",343.57,349.31,"Canada"
111,38,"Male",692.34,1310.63,"New Zealand"
112,38,"Male",119.96,97.26,"Australia"
113,59,"Male",356.56,656,"New Zealand"
114,71,"Female",95.96,149.32,"Australia"
115,63,"Female",414.93,424.55,"USA"
116,27,"Male",393.92,299.16,"Canada"
117,24,NA,197.03,166.35,"USA"
118,26,"Female",458.24,782.56,"Australia"
119,32,NA,945.46,748.02,"Canada"
120,38,NA,601.15,1033.18,"Canada"
121,54,NA,606.56,754.25,"New Zealand"
122,58,"Male",831.58,1438.97,"Australia"
123,42,NA,806.66,637.75,"USA"
124,63,"Male",553.7,670.31,"USA"
125,54,"Male",310.29,314.27,"New Zealand"
126,54,"Male",616.97,1208.35,"Australia"
127,51,"Female",248.91,364.16,"USA"
128,59,"Male",645.99,839.71,"Canada"
129,42,"Female",327.88,577.42,"Australia"
130,61,NA,882.66,845.97,"USA"
131,32,"Male",279.48,281.92,"USA"
132,50,NA,341.58,405.65,"USA"
133,37,"Male",576.36,757.12,"New Zealand"
134,52,"Male",77.75,68.23,"Australia"
135,23,NA,639.57,958.27,"Canada"
136,27,"Male",901.3,790.03,"Canada"
137,59,NA,51.76,102.89,"Australia"
138,55,NA,844.78,1249.17,"Canada"
139,64,NA,621.67,597.67,"USA"
140,37,"Female",115.59,161.51,"New Zealand"
141,45,"Male",797.69,652.62,"New Zealand"
142,37,"Male",651.66,638.04,"Australia"
143,61,"Female",784.13,621.41,"Australia"
144,40,NA,768.1,973.45,"Australia"
145,23,NA,108.49,178.88,"USA"
146,57,"Female",295.22,383.13,"New Zealand"
147,61,NA,902.74,1214.72,"Canada"
148,42,"Male",591.92,726.07,"New Zealand"
149,72,NA,171.02,298.64,"USA"
150,NA,NA,638.07,1245.44,"New Zealand"
151,23,NA,562.48,733.37,"Australia"
152,56,NA,345.86,379.41,"New Zealand"
153,68,"Male",73.5,114.7,"USA"
154,59,"Male",781.65,1324.29,"Australia"
155,23,NA,954.51,1418.63,"Australia"
156,41,NA,510.94,618.85,"Australia"
157,49,"Male",811.94,1124.99,"Canada"
158,31,"Male",494.02,458.37,"USA"
159,19,"Male",731.42,793.93,"Australia"
160,62,"Male",758.55,733.95,"Canada"
161,35,"Male",379.93,709.8,"Australia"
162,39,NA,170.8,247.09,"New Zealand"
163,31,NA,548.19,645.25,"USA"
164,55,"Male",68.5,76.26,"Canada"
165,18,"Female",422.75,711.56,"USA"
166,68,NA,513.66,747.98,"Canada"
167,68,NA,233.28,340.07,"Australia"
168,57,NA,735.69,1134.38,"USA"
169,23,"Female",967.03,1888.82,"USA"
170,40,"Female",265.65,454.28,"USA"
171,61,"Male",513.03,872.96,"USA"
172,23,"Female",176.19,166.93,"Canada"
173,57,NA,929.8,1123.48,"New Zealand"
174,56,"Female",92.77,176.61,"New Zealand"
175,28,"Female",588.55,806.22,"New Zealand"
176,34,"Female",390.15,306.87,"Canada"
177,53,"Male",624.75,820.03,"USA"
178,30,"Male",930.67,728.29,"USA"
179,57,"Male",901.71,697.22,"Canada"
180,42,"Male",571.96,1051.74,"New Zealand"
181,65,"Female",841.02,1636.06,"Canada"
